No.;Time;Comment;Scramble;Date;P.1
8282;11.45;;F' U2 F2 R' F' L2 B U2 F2 R2 U R2 B2 U' B2 D L2 U' B2 R';2026-01-09 11:32:30;11.45
8283;8.42;;U2 R U2 B2 R2 D2 B2 U2 L' B2 L F D2 L' D L F R F D2;2026-01-09 11:32:52;8.42
8284;8.40;;U' B' L2 U2 F' U2 R2 F2 U2 F' R2 L D' L2 D2 R U R2 B';2026-01-09 11:33:08;8.4
8285;10.21;;U2 F2 D B2 U2 R2 B2 U F2 R2 U' R2 B' U' L2 U F2 R' B2 R2 F;2026-01-09 11:33:26;10.21
8286;9.06;;F2 L2 U' F2 L2 R2 D' U2 L2 D U' B D' L U2 L2 D' F R' B;2026-01-09 11:34:03;9.06
8287;8.03;;B' L2 F D2 F' R2 D2 B F2 U2 F U2 D L2 R U' R2 B R2 D' U;2026-01-09 11:34:20;8.03
8288;9.03;;D2 L2 R2 D' L2 D2 U2 B2 L2 U2 L2 B' D2 R' B F' D2 R' B D' R;2026-01-09 11:34:36;9.03
8289;9.88;;L' D2 F2 R2 F2 R U2 L U2 R2 D2 R2 B L U' R F' R F2 D2 B';2026-01-09 11:34:55;9.88
8290;8.62;;L D L' F D F' U2 L F2 U F2 B2 R2 D F2 B2 D2 B2 D' F2;2026-01-09 11:35:14;8.62
8291;9.63;;D B' L' U2 L F2 R U2 L D2 B2 F2 R' D' F' D' R U2 B2 D;2026-01-09 11:35:32;9.63
8292;8.22;;U' R2 B2 R2 U R2 F2 U2 R2 U B2 U2 F D' B U' F' L' D2 B' L2;2026-01-09 11:35:51;8.22
8293;10.07;;B' D2 L2 B2 U R2 D L2 F2 U2 F2 R2 F' D F2 L F' R' D2 U L2;2026-01-09 11:36:09;10.07
8294;10.72;;B R2 F2 L2 U' B2 D' L2 D2 L2 U' F U2 B' U' L' F' R' B2 F;2026-01-09 11:36:29;10.72
8295;12.04;;L B2 D2 B2 D2 L2 B U2 F' R2 U2 R2 F2 U L' R2 B2 F2 U' B;2026-01-09 11:36:50;12.04
8296;12.29;;R U' F' B2 U L' B2 L2 U' R2 D2 F' D2 L2 U2 F L2 B;2026-01-09 11:37:11;12.29
8297;9.20;;L' F2 R' B2 U' B2 D' R2 D2 R2 F2 R2 F2 U' F' L D2 B' L U' B';2026-01-09 11:37:37;9.2
8298;7.95;;L2 B' L2 U2 F' D2 R2 D2 F2 R2 B' U F L2 D' R2 F' D2 R B;2026-01-09 11:37:55;7.95
8299;12.94;;R U' L' B2 R' U2 L2 R F2 U2 F2 U2 R B' U' L R' B' U' R';2026-01-09 11:38:12;12.94
8300;9.89;;D' U2 F' L2 B F2 D2 F2 U2 L2 F D2 F' D' B R B L F' L2 R2;2026-01-09 11:38:35;9.89
8301;9.02;;D R' B' L2 D L2 D' R2 D2 U' B2 L2 U2 F2 B' L' D B2 D U' B;2026-01-09 12:53:16;9.02
8302;8.76;;R2 U' F2 D2 R F2 L D2 B2 U2 F2 L2 R' F D' R2 U2 B' R2 U';2026-01-09 12:53:37;8.76
8303;DNF(12.29);;L U' F' B' D B' L' D2 B' R2 B2 U B2 D2 L2 D B2 L2 U R2;2026-01-09 12:53:54;12.29
8304;9.81;;U' B2 R2 U' R2 D L2 U' L2 F2 L2 R' D' B' F2 L F' R B2 U' B';2026-01-09 12:55:13;9.81
8305;8.29;;L' U2 B2 U' L2 U R2 U B2 R2 D L2 B' L U' B R U L' R2;2026-01-09 12:55:29;8.29
8306;9.23;;U2 F2 D2 F' L2 F2 U2 F' L2 B2 F' U R F' U2 L' B2 R F' D2 U';2026-01-09 12:56:08;9.23
8307;7.16;;D2 L2 D2 B2 U2 B' D2 F' R2 B' R2 D' R' B U' L2 B2 L' D' R;2026-01-09 12:56:26;7.16
8308;10.75;;U2 L' F2 L2 B2 U2 B2 U B2 D' B2 D2 F2 R2 L' B' L2 D R F U';2026-01-09 12:56:40;10.75
8309;10.09;;B2 F' R2 D2 U2 B D2 U2 R2 F' D2 B2 D L' D2 U' L F D L' R2;2026-01-09 12:56:58;10.09
8310;9.91;;U2 F L2 F D' B2 L F' U L U2 R2 B2 L2 B2 L B2 U2 F2 L B2;2026-01-09 12:57:46;9.91
8311;8.06;;R F2 D2 B2 R2 D F2 U' B2 U2 L' B' R B U B U B2 D2;2026-01-09 13:00:03;8.06
8312;10.15;;D2 U R2 D2 R2 B2 L B2 U2 F' U L2 D2 R' U' R2 U2;2026-01-09 13:00:20;10.15
8313;10.79;;R L' F' D' B R2 B' U D2 L' B2 R B2 U2 D2 L2 D2 F2 R U';2026-01-09 13:00:38;10.79
8314;10.92;;F2 U2 F2 L2 R2 U' L2 F2 L2 D' R2 B L R' D L2 F' R' F L2 U;2026-01-09 13:01:01;10.92
8315;11.96;;R B2 D' B2 D' L2 U' R2 D' U' L2 U2 L F' D U2 F L R B;2026-01-09 13:01:21;11.96
8316;9.18;;D L2 U' R2 B2 U2 B2 U2 F U F L' B' F D2 R B F2;2026-01-09 13:06:20;9.18
8317;9.44;;U R B' D' B2 D2 F2 D L2 F2 U' B2 L2 F U F2 D2 B R U';2026-01-09 13:07:02;9.44
8318;10.59;;F' U2 B' R2 U2 F' U2 R2 F2 D2 U2 B' U L' B' F' R' U2 F2 R2 U';2026-01-09 13:07:28;10.59
8319;7.94;;L2 B D2 R2 B2 R2 F' L2 U2 B2 R2 F' R' U B' F2 R B F U' R2;2026-01-09 13:07:46;7.94
8320;8.77;;B' F L2 R2 D2 L2 R2 F' L2 F2 U B L' B2 D B D R2;2026-01-09 13:08:03;8.77
8321;8.74;;R2 F D2 B D2 L2 B' U R' U' B2 R' U L D B' F';2026-01-09 13:08:18;8.74
8322;8.97;;D2 U2 R2 B' U2 L2 B U2 B L2 B2 F L R' D' R U2 R2 F' L U';2026-01-09 13:08:39;8.97
8323;10.31;;F' B R' F2 R2 U' F' R2 U2 F2 L B2 D2 L' B2 L2 D2 L D;2026-01-09 13:09:02;10.31
8324;8.83;;L' F' U' R2 D' L2 B' D F2 B2 U B2 L2 D' B2 L2 U' D' R B2;2026-01-09 13:09:22;8.83
8325;7.45;;L' F' R2 U2 L2 R2 U2 F D2 B2 L' D2 R' D' R' U2 L D2;2026-01-09 13:09:38;7.45
8326;9.98;;D F D2 U2 L B2 L' U2 F2 U2 L U' F2 L2 R B D F';2026-01-09 13:10:36;9.98
8327;10.21;;B2 L F2 U2 F' D2 B' D2 L2 F' U2 F' L2 R2 D' R2 U L R B R;2026-01-09 13:10:55;10.21
8328;10.13;;R B D' R2 U B2 D F2 D' L2 F2 D' B2 U2 R B F' D B' R' U;2026-01-09 13:11:18;10.13
8329;8.37;;U2 L2 D' L2 U F2 R2 D' F2 D' B2 R F L2 D' F' L2 D B' D2 B;2026-01-09 13:11:37;8.37
8330;8.43;;F U D R L' D' B U' F U2 B2 L2 F2 U2 L' F2 U2 B2 U2 L;2026-01-09 13:11:54;8.43
8331;13.17;;F2 D2 R U2 L2 U2 R B2 F2 U2 L' B L2 R F2 U' B' F U R D;2026-01-09 13:12:12;13.17
8332;8.81;;L' B2 U F2 D R2 U F2 U' R2 U' R2 D B D' B2 F' L' U' L2 F';2026-01-09 13:12:32;8.81
8333;8.35;;L' U R2 U2 R2 F2 L2 U F2 R2 F2 L2 U' R' D2 U L' F' U' L2 F;2026-01-09 13:12:50;8.35
8334;8.82;;L' D2 F2 U2 B2 L' D2 U2 B2 L' B2 L2 U' R' B U' F' U R' F2 U';2026-01-09 13:13:09;8.82
8335;8.01;;L' F L2 D2 L F2 D2 R2 D2 L' U2 B2 U2 R B R F2 U' B' R D;2026-01-09 13:13:26;8.01
8336;9.05;;U2 B2 D L2 D L2 U L2 F2 U2 R2 B F' L B U2 L2 D2 U' L;2026-01-09 13:13:47;9.05
8337;9.53;;L F2 D2 L2 U F2 L2 D' F2 R2 D U' R2 F' L' R2 U2 R' D' R' F2;2026-01-09 13:14:06;9.53
8338;8.55;;R' U2 B2 R2 B U2 B' L2 F' U2 F2 L2 R D' U R D' U' F' D';2026-01-09 13:14:25;8.55
8339;10.80;;U2 B' R' L F' U' D R L2 U2 B2 D' B2 L2 U' B2 D R2 U' F2 L;2026-01-09 13:14:45;10.8
8340;11.37;;L2 D2 F' R2 B' U2 F R2 F U2 D' R2 D2 B' L F D2 R';2026-01-09 13:15:02;11.37
8341;9.22;;D2 F R2 D2 B' R2 F' D2 F2 R2 F2 U2 R' F2 U' L B' F2 L R' B;2026-01-09 13:17:22;9.22
8342;10.97;;F2 R2 U2 R2 D2 F L2 F2 R2 B D2 B' L' B' L2 U' R B2 F L R2;2026-01-09 13:17:39;10.97
8343;10.56;;L2 R2 U2 L2 R2 B L2 F2 D2 F' R2 D2 U L U' F2 R' U B' F';2026-01-09 13:18:00;10.56
8344;10.81;;D2 R D L' B R F' D' L U2 R2 D2 B2 L' D2 L2 B2 D2 L';2026-01-09 13:18:18;10.81
8345;9.68;;R2 F' L2 B2 F' R2 U2 B R2 D2 F U B2 F2 U2 R U2 L R2 B;2026-01-09 13:18:37;9.68
8346;8.35;;L2 D2 F' U2 F' U2 R2 D2 L2 B U2 D R B2 L' F2 R U2 R D;2026-01-09 13:18:55;8.35
8347;9.82;;L B' D' L U' F D L2 D2 F' R2 U2 B' U2 B R2 F2 R2 U;2026-01-09 13:19:11;9.82
8348;9.94;;B L F' R L2 B' D2 B L' U F2 D L2 B2 D2 L2 B2 U' B2 R2 B2;2026-01-09 13:19:41;9.94
8349;7.36;;L2 D2 F L2 F D2 R2 B2 L2 F R2 B L U' B2 U L R F U' B;2026-01-09 13:20:01;7.36
8350;9.72;;F' R2 L' B' R' B2 D' L U2 L2 D' B2 D2 B2 D' B2 D' F2 D B2 R';2026-01-09 13:20:17;9.72
8351;9.29;;L' B U2 B2 U' L' D' F2 R F L D2 F2 L B2 D2 L B2 D2 R;2026-01-10 10:08:43;9.29
8352;10.92;;U2 L' B2 U2 F2 U L2 D2 U' F2 U2 F2 R2 F' U2 L' U F' D2 L2;2026-01-10 10:09:02;10.92
8353;10.67;;U2 B U F R' B2 D' U2 L2 F L2 F2 R2 U2 B' D2 B U2 F' R' F2;2026-01-10 10:09:25;10.67
8354;11.07;;D2 F L F2 R' B L2 D R L2 D' L2 F2 U B2 D2 F2 L2 D' R2 D';2026-01-10 10:09:46;11.07
8355;8.08;;D2 F2 L R U2 R' F2 L F2 D2 L' F' L U' B' L' R U R2;2026-01-10 10:10:08;8.08
8356;9.83;;R' F2 B D B' U' R' F2 U2 B2 U2 F2 L2 U L2 U R2 F' U';2026-01-10 10:10:23;9.83
8357;9.85;;R U2 R' F2 D2 L2 F2 L2 B2 R2 D F' U2 R D' B L2;2026-01-10 10:10:46;9.85
8358;7.69;;F' L2 U2 R' U2 B2 R2 B2 R F2 R2 F2 U' F2 D L2 B D R' U' L';2026-01-10 10:11:04;7.69
8359;11.24;;D2 B U2 D F U B' R B' U2 R2 B2 R2 L2 D' R2 U F2 R2 D2;2026-01-10 10:11:21;11.24
8360;10.09;;R B2 L2 B2 R U2 R F2 U2 L D2 F' D L' B' R2 F D2 L2 R';2026-01-10 10:11:42;10.09
8361;11.04;;R' D2 F U' B' R2 U' F2 L2 U2 B2 R' F2 B2 D2 F2 B2 L F' L';2026-01-10 10:12:02;11.04
8362;8.94;;U2 R2 F L2 D2 R D B2 L' D2 R' U2 D2 L D2 B2 L' D2 F U2;2026-01-10 10:12:32;8.94
8363;9.69;;B' L U2 B2 U R2 D2 L2 F2 U B2 D2 L' B' F' U B R2 D;2026-01-10 10:12:52;9.69
8364;8.92;;R' F' L2 D2 L2 R' U2 F2 L2 R F2 U R' B' L U B' F2;2026-01-10 10:13:08;8.92
8365;9.65;;L2 R2 B2 D' L2 D' F2 R2 F2 U' B2 F R B R' D' F D R' U L';2026-01-10 10:13:29;9.65
